1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, LA)","GE RUNOFF ELECTION % (GA, LA)",COMBINED GE PARTY TOTALS (when applicable),COMBINED % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,
184,KY,Kentucky,S,S0KY00461,,Naren ,James,"James, Naren ",,R,"10,693",2.58%,,,,,,,,,,,,,
185,KY,Kentucky,S,"S0KY00479
",,Kenneth,Lowndes,"Lowndes, Kenneth",,R,"5,548",1.34%,,,,,,,,,,,,,
186,KY,Kentucky,S,S0KY00453,,Nicholas,Alsager,"Alsager, Nicholas",,R,"3,603",0.87%,,,,,,,,,,,,,
187,KY,Kentucky,S,n/a,,,,,Party Votes:,R,"413,820",,,,,,,,,,,,,,
188,KY,Kentucky,S,S0KY00339,,Amy,McGrath,"McGrath, Amy",,D,"247,037",45.41%,,,"816,257",38.23%,,,,,W,,,,
189,KY,Kentucky,S,S0KY00420,,Charles,Booker,"Booker, Charles",,D,"231,888",42.62%,,,,,,,,,,,,,
190,KY,Kentucky,S,S0KY00321,,Mike,Broihier,"Broihier, Mike",,D,"27,175",4.99%,,,,,,,,,,,,,
191,KY,Kentucky,S,S0KY00438,,Mary Ann,Tobin,"Tobin, Mary Ann",,D,"11,108",2.04%,,,,,,,,,,,,,
192,KY,Kentucky,S,"S0KY00487
",,Maggie Jo,Hilliard,"Hilliard, Maggie Jo",,D,"6,224",1.14%,,,,,,,,,,,,,
193,KY,Kentucky,S,S0KY00289,,Andrew J.,Maynard,"Maynard, Andrew J.",,D,"5,974",1.10%,,,,,,,,,,,,,
194,KY,Kentucky,S,S0KY00354,,Bennie J.,Smith,"Smith, Bennie J.",,D,"5,040",0.93%,,,,,,,,,,,,,
195,KY,Kentucky,S,S0KY00313,,Jimmy C.,Ausbrooks,"Ausbrooks, Jimmy C.",,D,"3,629",0.67%,,,,,,,,,,,,,
196,KY,Kentucky,S,S0KY00388,,Eric,Rothmuller,"Rothmuller, Eric",,D,"2,995",0.55%,,,,,,,,,,,,,
197,KY,Kentucky,S,"S0KY00495
",,John R.,Sharpensteen,"Sharpensteen, John R.",,D,"2,992",0.55%,,,,,,,,,,,,,
198,KY,Kentucky,S,n/a,,,,,Party Votes:,D,"544,062",,,,,,,,,,,,,,
199,KY,Kentucky,S,S0KY00396,,Brad,Barron,"Barron, Brad",,LIB,*,,,,"85,386",4.00%,,,,,*,,"* The Libertarian Party nominated by convention on March 8, 2020.  Convention nominee is noted with an asterisk.",,
200,KY,Kentucky,S,S0KY00347,,Paul John,Frangedakis,"Frangedakis, Paul John",,W,,,,,70,0.00%,,,,,,,,,
201,KY,Kentucky,S,n/a,,Daniel,Cobble,"Cobble, Daniel",,W,,,,,18,0.00%,,,,,,,,,
202,KY,Kentucky,S,S0KY00529,,Randall Lee,Teegarden,"Teegarden, Randall Lee",,W,,,,,9,0.00%,,,,,,,,,
203,KY,Kentucky,S,n/a,,Harold H.,Fitzpatrick,"Fitzpatrick, Harold H.",,W,,,,,1,0.00%,,,,,,,,,
204,KY,Kentucky,S,n/a,,Demetra,Wysinger,"Wysinger, Demetra",,W,,,,,1,0.00%,,,,,,,,,
205,KY,Kentucky,S,n/a,,,,,Total State Votes:,,"957,882",,,,"2,135,057",,,,,,,,,,
206,,,,n/a,,,,,,,,,,,,,,,,,,,,,
207,LA,Louisiana,S,S4LA00107   ,(I),"""Bill""",Cassidy,"Cassidy, ""Bill""",,R,,,,,"1,228,908",59.32%,,,,,,W,,,
208,LA,Louisiana,S,S0LA00386,,Adrian,Perkins,"Perkins, Adrian",,D,,,,,"394,049",19.02%,,,,,,,,,
209,LA,Louisiana,S,S6LA00342,,"Derrick ""Champ""",Edwards,"Edwards, Derrick ""Champ""",,D,,,,,"229,814",11.09%,,,,,,,,,
210,LA,Louisiana,S,S0LA00311   ,,Antoine,Pierce,"Pierce, Antoine",,D,,,,,"55,710",2.69%,,,,,,,,,
211,LA,Louisiana,S,S0LA00352   ,,Dustin,Murphy,"Murphy, Dustin",,R,,,,,"38,383",1.85%,,,,,,,,,
212,LA,Louisiana,S,S0LA00402,,David Drew,Knight,"Knight, David Drew",,D,,,,,"36,962",1.78%,,,,,,,,,
213,LA,Louisiana,S,S6LA00441,,Beryl,Billiot,"Billiot, Beryl",,NPA,,,,,"17,362",0.84%,,,,,,,,,
214,LA,Louisiana,S,S0LA00360 ,,John Paul,Bourgeois,"Bourgeois, John Paul",,NPA,,,,,"16,518",0.80%,,,,,,,,,
215,LA,Louisiana,S,S0LA00345   ,,Peter,Wenstrup,"Wenstrup, Peter",,D,,,,,"14,454",0.70%,,,,,,,,,
216,LA,Louisiana,S,S0LA00394,,Aaron C.,Sigler,"Sigler, Aaron C.",,LIB,,,,,"11,321",0.55%,,,,,,,,,
217,LA,Louisiana,S,S6LA00409,,"M.V. ""Vinny""",Mendoza,"Mendoza, M.V. ""Vinny""",,IND,,,,,"7,811",0.38%,,,,,,,,,
218,LA,Louisiana,S,S0LA00428,,Melinda Mary,Price,"Price, Melinda Mary",,OTH,,,,,"7,680",0.37%,,,,,,,,,
219,LA,Louisiana,S,S0LA00303   ,,Jamar,Montgomery,"Montgomery, Jamar",,NPA,,,,,"5,804",0.28%,,,,,,,,,
220,LA,Louisiana,S,S0LA00410,,"Reno Jean, III",Daret,"Daret, Reno Jean, III",,NPA,,,,,"3,954",0.19%,,,,,,,,,
221,LA,Louisiana,S,S0LA00378,,"""Xan""",John,"John, ""Xan""",,OTH,,,,,"2,813",0.14%,,,,,,,,,
222,LA,Louisiana,S,n/a,,,,,Total State Votes:,,,,,,"2,071,543",,,,,,,,,,
223,,,,n/a,,,,,,,,,,,,,,,,,,,,,
224,ME,Maine,S,S6ME00159,(I),Susan Margaret,Collins,"Collins, Susan Margaret",,R,"87,375",98.79%,,,"417,645",50.98%,,,,,W,W,,,
225,ME,Maine,S,S0ME00178,,Amy,Colter,"Colter, Amy",,W(R),"1,073",1.21%,,,,,,,,,,,,,
226,ME,Maine,S,n/a,,,,,Party Votes:,R,"88,448",,,,,,,,,,,,,,
227,ME,Maine,S,S0ME00111,,Sara I.,Gideon,"Gideon, Sara I.",,D,"116,264",71.47%,,,"347,223",42.39%,,,,,W,,,,
228,ME,Maine,S,S0ME00103,,Elizabeth A.,Sweet,"Sweet, Elizabeth A.",,D,"37,327",22.94%,,,,,,,,,,,,,
229,ME,Maine,S,S0ME00087,,Bre,Kidman,"Kidman, Bre",,D,"9,090",5.59%,,,,,,,,,,,,,
230,ME,Maine,S,n/a,,,,,Party Votes:,D,"162,681",,,,,,,,,,,,,,
231,ME,Maine,S,S0ME00137,,Lisa,Savage,"Savage, Lisa",,IND,,,,,"40,579",4.95%,,,,,,,,,
232,ME,Maine,S,S8ME00163,,Max Patrick,Linn,"Linn, Max Patrick",,IND,,,,,"13,508",1.65%,,,,,,,,,
233,ME,Maine,S,n/a,,,Scattered,Scattered,,W,,,,,228,0.03%,,,,,,,,,
234,ME,Maine,S,n/a,,,,,Total State Votes:,,"251,129",,,,"819,183",,,,,,,,,,
235,,,,n/a,,,,,,,,,,,,,,,,,,,,,
236,MA,Massachusetts,S,S4MA00028,(I),Edward J.,Markey,"Markey, Edward J.",,D,"782,694",55.35%,,,"2,357,809",66.15%,,,,,W,W,,,
237,MA,Massachusetts,S,S0MA00208 ,,"Joseph P., III",Kennedy,"Kennedy, Joseph P., III",,D,"629,359",44.51%,,,,,,,,,,,,,
238,MA,Massachusetts,S,n/a,,,All Others,All Others,,W(D),"1,935",0.14%,,,,,,,,,,,,,
239,MA,Massachusetts,S,n/a,,,,,Party Votes:,D,"1,413,988",,,,,,,,,,,,,,
240,MA,Massachusetts,S,S0MA00232,,Kevin J.,O'Connor,"O'Connor, Kevin J.",,R,"158,590",59.71%,,,"1,177,765",33.04%,,,,,W,,,,
241,MA,Massachusetts,S,S8MA00268 ,,Shiva,Ayyadurai,"Ayyadurai, Shiva",,R,"104,782",39.45%,,,,,,,,,,,,,
242,MA,Massachusetts,S,n/a,,,All Others,All Others,,W(R),"2,245",0.85%,,,,,,,,,,,,,
243,MA,Massachusetts,S,n/a,,,,,Party Votes:,R,"265,617",,,,,,,,,,,,,,
244,MA,Massachusetts,S,S8MA00268,,Shiva,Ayyadurai,"Ayyadurai, Shiva",,W,,,,,"21,134",0.59%,,,,,,,,,
245,MA,Massachusetts,S,n/a,,,All Others,All Others,,W,,,,,"7,428",0.21%,,,,,,,,,
246,MA,Massachusetts,S,n/a,,,All Others,All Others,,W(LIB),"3,390",99.21%,,,,,,,,,,,,,
247,MA,Massachusetts,S,n/a,,Vermin Love,Supreme,"Supreme, Vermin Love",,W(LIB),27,0.79%,,,,,,,,,,,,,
248,MA,Massachusetts,S,n/a,,,,,Party Votes:,LIB,"3,417",,,,,,,,,,,,,,
249,MA,Massachusetts,S,n/a,,,,,Total State Votes:,,"1,683,022",,,,"3,564,136",,,,,,,,,,
250,,,,n/a,,,,,,,,,,,,,,,,,,,,,
251,MI,Michigan,S,S4MI00298,(I),Gary,Peters,"Peters, Gary",,D,"1,180,780",100.00%,,,"2,734,568",49.90%,,,,,W,W,,,
252,MI,Michigan,S,n/a,,,,,Party Votes:,D,"1,180,780",,,,,,,,,,,,,,
253,MI,Michigan,S,S8MI00372,,John,James,"James, John",,R,"1,005,315",100.00%,,,"2,642,233",48.22%,,,,,W,,,,
254,MI,Michigan,S,n/a,,,,,Party Votes:,R,"1,005,315",,,,,,,,,,,,,,
255,MI,Michigan,S,S0MI00205,,Valerie L.,Willis,"Willis, Valerie L.",,UST,*,,,,"50,597",0.92%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,
256,MI,Michigan,S,S8MI00430,,Marcia ,Squier,"Squier, Marcia ",,GRE,*,,,,"39,217",0.72%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,
257,MI,Michigan,S,S2MI00144,,Doug,Dern,"Dern, Doug",,NLP,*,,,,"13,093",0.24%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,
258,MI,Michigan,S,n/a,,Leonard Paul,Gadinski,"Gadinski, Leonard Paul",,W,,,,,7,0.00%,,,,,,,,,
259,MI,Michigan,S,S4MI00298,,Robert William,Carr,"Carr, Robert William",,W,,,,,5,0.00%,,,,,,,,,
260,MI,Michigan,S,n/a,,,,,Total State Votes:,,"2,186,095",,,,"5,479,720",,,,,,,,,,
261,,,,n/a,,,,,,,,,,,,,,,,,,,,,
262,MN,Minnesota,S,S8MN00578,(I),Tina,Smith,"Smith, Tina",,DFL,"497,498",87.14%,,,"1,566,522",48.74%,,,,,W,W,,,
263,MN,Minnesota,S,S0MN00336,,Paula,Overby,"Overby, Paula",,DFL,"30,497",5.34%,,,,,,,,,,,,,
264,MN,Minnesota,S,S0MN00344,,Ahmad R.,Hassan,"Hassan, Ahmad R.",,DFL,"20,037",3.51%,,,,,,,,,,,,,
265,MN,Minnesota,S,S4MN00437,,Steve,Carlson,"Carlson, Steve",,DFL,"16,429",2.88%,,,,,,,,,,,,,
266,MN,Minnesota,S,S8MN00685,,"Christopher Lovell, Sr.",Seymore,"Seymore, Christopher Lovell, Sr.",,DFL,"6,480",1.13%,,,,,,,,,,,,,
267,MN,Minnesota,S,n/a,,,,,Party Votes:,DFL,"570,941",,,,,,,,,,,,,,
268,MN,Minnesota,S,S0MN00328,,Jason,Lewis,"Lewis, Jason",,R,"191,290",78.11%,,,"1,398,145",43.50%,,,,,W,,,,
269,MN,Minnesota,S,S0MN00369,,Cynthia,Gail,"Gail, Cynthia",,R,"17,675",7.22%,,,,,,,,,,,,,
270,MN,Minnesota,S,S0MN00351,,John L.,Berman,"Berman, John L.",,R,"16,213",6.62%,,,,,,,,,,,,,
271,MN,Minnesota,S,S2MN00308,,"Bob ""Again,""  Jr.",Carney,"Carney, Bob ""Again,""  Jr.",,R,"10,503",4.29%,,,,,,,,,,,,,
272,MN,Minnesota,S,"S0MN00377
",,James,Reibestein,"Reibestein, James",,R,"9,210",3.76%,,,,,,,,,,,,,
273,MN,Minnesota,S,n/a,,,,,Party Votes:,R,"244,891",,,,,,,,,,,,,,
274,MN,Minnesota,S,"S0MN00393
",,Kevin,O'Connor,"O'Connor, Kevin",,LMN,"6,996",100.00%,,,"190,154",5.92%,,,,,W,,,,
275,MN,Minnesota,S,n/a,,,,,Party Votes:,LMN,"6,996",,,,,,,,,,,,,,
276,MN,Minnesota,S,S0MN00385,,Oliver,Steinberg,"Steinberg, Oliver",,GLC,"3,275",100.00%,,,"57,174",1.78%,,,,,W,,,,
277,MN,Minnesota,S,n/a,,,,,Party Votes:,GLC,"3,275",,,,,,,,,,,,,,
278,MN,Minnesota,S,n/a,,,Scattered,Scattered,,W,,,,,"2,229",0.07%,,,,,,,,,
279,MN,Minnesota,S,S0MN00294,,"Rob, Jr.",Barrett,"Barrett, Rob, Jr.",,W,,,,,22,0.00%,,,,,,,,,
280,MN,Minnesota,S,n/a,,"George A., Jr.",Dennis,"Dennis, George A., Jr.",,W,,,,,5,0.00%,,,,,,,,,
281,MN,Minnesota,S,n/a,,Stephen W.,Carlson,"Carlson, Stephen W.",,W,,,,,3,0.00%,,,,,,,,,
282,MN,Minnesota,S,S0MN00351,,John,Berman,"Berman, John",,W,,,,,2,0.00%,,,,,,,,,
283,MN,Minnesota,S,n/a,,,,,Total State Votes:,,"826,103",,,,"3,214,256",,,,,,,,,,
284,,,,n/a,,,,,,,,,,,,,,,,,,,,,
285,MS,Mississippi,S,S8MS00261,(I),Cindy,Hyde-Smith,"Hyde-Smith, Cindy",,R,"235,463",100.00%,,,"709,511",54.11%,,,,,W,W,,,
286,MS,Mississippi,S,n/a,,,,,Party Votes:,R,"235,463",,,,,,,,,,,,,,
287,MS,Mississippi,S,S8MS00287,,Mike,Espy,"Espy, Mike",,D,"250,496",93.12%,,,"578,691",44.13%,,,,,W,,,,
288,MS,Mississippi,S,S8MS00295,,Tobey Bernard,Bartee,"Bartee, Tobey Bernard",,D,"11,148",4.14%,,,,,,,,,,,,,
289,MS,Mississippi,S,S8MS00220,,Jensen,Bohren,"Bohren, Jensen",,D,"7,345",2.73%,,,,,,,,,,,,,
290,MS,Mississippi,S,n/a,,,,,Party Votes:,D,"268,989",,,,,,,,,,,,,,
291,MS,Mississippi,S,S0MS00086,,Jimmy,Edwards,"Edwards, Jimmy",,LIB,,,,,"23,152",1.77%,,,,,,,,,
292,MS,Mississippi,S,n/a,,,,,Total State Votes:,,"504,452",,,,"1,311,354",,,,,,,,,,
293,,,,n/a,,,,,,,,,,,,,,,,,,,,,
294,MT,Montana,S,S2MT00096,(I),Steve,Daines,"Daines, Steve",,R,"192,942",88.02%,,,"333,174",55.01%,,,,,W,W,,,
295,MT,Montana,S,S8MT00028,,John Brian,Driscoll,"Driscoll, John Brian",,R,"13,944",6.36%,,,,,,,,,,,,,
296,MT,Montana,S,S0MT00157,,Daniel R.,Larson,"Larson, Daniel R.",,R,"12,319",5.62%,,,,,,,,,,,,,
297,MT,Montana,S,n/a,,,Scattered,Scattered,,W(R),8,0.00%,,,,,,,,,,,,,
298,MT,Montana,S,n/a,,,,,Party Votes:,R,"219,213",,,,,,,,,,,,,,
299,MT,Montana,S,S0MT00173,,Steve,Bullock,"Bullock, Steve",,D,"144,949",95.45%,,,"272,463",44.99%,,,,,W,,,,
300,MT,Montana,S,S0MT00108,,John,Mues,"Mues, John",,D,"3,740",2.46%,,,,,,,,,,,,,
301,MT,Montana,S,S0MT00124,,Mike,Knoles,"Knoles, Mike",,D,"3,165",2.08%,,,,,,,,,,,,,
302,MT,Montana,S,n/a,,,Scattered,Scattered,,W(D),1,0.00%,,,,,,,,,,,,,
303,MT,Montana,S,n/a,,,,,Party Votes:,D,"151,855",,,,,,,,,,,,,,
304,MT,Montana,S,S0MT00165,,Wendie,Fredrickson,"Fredrickson, Wendie",,GRE,504,66.32%,,,#,,,,,,,,# The Montana Green Party candidates were removed from the general election ballot in August 2020 by court order.,,
305,MT,Montana,S,S0MT00199,,Dennis,Daneke,"Daneke, Dennis",,GRE,255,33.55%,,,,,,,,,,,# The Montana Green Party candidates were removed from the general election ballot in August 2020 by court order.,,
306,MT,Montana,S,n/a,,,Scattered,Scattered,,W(GRE),1,0.13%,,,,,,,,,,,# The Montana Green Party candidates were removed from the general election ballot in August 2020 by court order.,,
307,MT,Montana,S,n/a,,,,,Party Votes:,GRE,760,,,,,,,,,,,,# The Montana Green Party candidates were removed from the general election ballot in August 2020 by court order.,,
308,MT,Montana,S,n/a,,,,,Total State Votes:,,"371,828",,,,"605,637",,,,,,,,,,
309,,,,n/a,,,,,,,,,,,,,,,,,,,,,
310,NE,Nebraska,S,S4NE00090,(I),Ben,Sasse,"Sasse, Ben",,R,"215,207",75.21%,,,"583,507",62.74%,,,,,W,W,,,
311,NE,Nebraska,S,S0NE00080,,Matt,Innis,"Innis, Matt",,R,"70,921",24.79%,,,,,,,,,,,,,
312,NE,Nebraska,S,n/a,,,,,Party Votes:,R,"286,128",,,,,,,,,,,,,,
313,NE,Nebraska,S,S8NE00216,,Chris,Janicek,"Janicek, Chris",,D,"46,247",30.69%,,,"227,191",24.43%,,,,,W,,,,
314,NE,Nebraska,S,S0NE00072,,Angie,Philips,"Philips, Angie",,D,"35,929",23.84%,,,,,,,,,,,,,
315,NE,Nebraska,S,S0NE00098,,Alisha,Shelton,"Shelton, Alisha",,D,"34,284",22.75%,,,,,,,,,,,,,
316,NE,Nebraska,S,S0NE00130,,Andy,Stock,"Stock, Andy",,D,"17,156",11.38%,,,,,,,,,,,,,
317,NE,Nebraska,S,S8NE00141,,Larry,Marvin,"Marvin, Larry",,D,"6,868",4.56%,,,,,,,,,,,,,
318,NE,Nebraska,S,S0NE00148,,Daniel M.,Wik,"Wik, Daniel M.",,D,"5,765",3.83%,,,,,,,,,,,,,
319,NE,Nebraska,S,S0NE00216,,Dennis Frank,Maček,"Maček, Dennis Frank",,D,"4,453",2.95%,,,,,,,,,,,,,
320,NE,Nebraska,S,n/a,,,,,Party Votes:,D,"150,702",,,,,,,,,,,,,,
321,NE,Nebraska,S,S0NE00171,,"Preston, Jr.",Love,"Love, Preston, Jr.",,W,,,,,"58,411",6.28%,,,,,,,,,
322,NE,Nebraska,S,S0NE00155,,Gene,Siadek,"Siadek, Gene",,LIB,"2,517",100.00%,,,"55,115",5.93%,,,,,W,,,,
323,NE,Nebraska,S,n/a,,,,,Party Votes:,LIB,"2,517",,,,,,,,,,,,,,
324,NE,Nebraska,S,n/a,,,Scattered,Scattered,,W,,,,,"5,788",0.62%,,,,,,,,,
325,NE,Nebraska,S,n/a,,,,,Total State Votes:,,"439,347",,,,"930,012",,,,,,,,,,
326,,,,n/a,,,,,,,,,,,,,,,,,,,,,
327,NH,New Hampshire,S,S0NH00219,(I),Jeanne,Shaheen,"Shaheen, Jeanne",,D,"142,012",93.80%,,,"450,778",56.64%,,,,,W,W,,,
328,NH,New Hampshire,S,S0NH00359,,Paul J.,Krautmann,"Krautmann, Paul J.",,D,"5,914",3.91%,,,,,,,,,,,,,
329,NH,New Hampshire,S,S4NH00062,,Tom,Alciere,"Alciere, Tom",,D,"2,992",1.98%,,,,,,,,,,,,,
330,NH,New Hampshire,S,S0NH00326,,Don,Bolduc,"Bolduc, Don",,W(D),199,0.13%,,,,,,,,,,,,,
331,NH,New Hampshire,S,S0NH00334,,Corky,Messner,"Messner, Corky",,W(D),137,0.09%,,,,,,,,,,,,,
332,NH,New Hampshire,S,n/a,,,Scattered ,Scattered ,,W(D),137,0.09%,,,,,,,,,,,,,
333,NH,New Hampshire,S,S4NH00096,,Andy,Martin,"Martin, Andy",,W(D),11,0.01%,,,,,,,,,,,,,
334,NH,New Hampshire,S,S0NH00284,,Gerard,Beloin,"Beloin, Gerard",,W(D),3,0.00%,,,,,,,,,,,,,
335,NH,New Hampshire,S,n/a,,,,,Party Votes:,D,"151,405",,,,,,,,,,,,,,
336,NH,New Hampshire,S,S0NH00334,,Corky,Messner,"Messner, Corky",,R,"69,801",50.17%,,,"326,229",40.99%,,,,,W,,,,
337,NH,New Hampshire,S,S0NH00326,,Don,Bolduc,"Bolduc, Don",,R,"58,749",42.23%,,,,,,,,,,,,,
338,NH,New Hampshire,S,S4NH00096,,Andy,Martin,"Martin, Andy",,R,"6,443",4.63%,,,,,,,,,,,,,
339,NH,New Hampshire,S,S0NH00284,,Gerard,Beloin,"Beloin, Gerard",,R,"3,098",2.23%,,,,,,,,,,,,,
340,NH,New Hampshire,S,S0NH00219,,Jeanne,Shaheen,"Shaheen, Jeanne",,W(R),771,0.55%,,,,,,,,,,,,,
341,NH,New Hampshire,S,n/a,,,Scattered ,Scattered,,W(R),241,0.17%,,,,,,,,,,,,,
342,NH,New Hampshire,S,S4NH00062,,Tom,Alciere,"Alciere, Tom",,W(R),7,0.01%,,,,,,,,,,,,,
343,NH,New Hampshire,S,S0NH00359,,Paul J.,Krautmann,"Krautmann, Paul J.",,W(R),7,0.01%,,,,,,,,,,,,,
344,NH,New Hampshire,S,n/a,,,,,Party Votes:,R,"139,117",,,,,,,,,,,,,,
345,NH,New Hampshire,S,S0NH00300,,Justin,O'Donnell,"O'Donnell, Justin",,LIB,,,,,"18,421",2.31%,,,,,,,,,
346,NH,New Hampshire,S,n/a,,,Scattered,Scattered,,W,,,,,486,0.06%,,,,,,,,,
347,NH,New Hampshire,S,n/a,,,,,Total State Votes:,,"290,522",,,,"795,914",,,,,,,,,,
348,,,,n/a,,,,,,,,,,,,,,,,,,,,,
349,NJ,New Jersey,S,S4NJ00185,(I),Cory,Booker,"Booker, Cory",,D,"838,636",87.59%,,,"2,541,239",57.23%,,,,,W,W,,,
350,NJ,New Jersey,S,S0NJ00233,,Lawrence,Hamm,"Hamm, Lawrence",,D,"118,843",12.41%,,,,,,,,,,,,,
351,NJ,New Jersey,S,n/a,,,,,Party Votes:,D,"957,479",,,,,,,,,,,,,,
352,NJ,New Jersey,S,S0NJ00217,,"Rikin ""Rik""",Mehta,"Mehta, Rikin ""Rik""",,R,"154,866",38.01%,,,"1,817,091",40.92%,,,,,W,,,,
353,NJ,New Jersey,S,S0NJ00191,,Hirsh ,Singh,"Singh, Hirsh ",,R,"146,139",35.87%,,,,,,,,,,,,,
354,NJ,New Jersey,S,S8NJ00541,,Patricia,Flanagan,"Flanagan, Patricia",,R,"72,692",17.84%,,,,,,,,,,,,,
355,NJ,New Jersey,S,S8NJ00533,,Natalie Lynn,Rivera,"Rivera, Natalie Lynn",,R,"21,655",5.32%,,,,,,,,,,,,,
356,NJ,New Jersey,S,S0NJ00282,,Eugene T.,Anagnos,"Anagnos, Eugene T.",,R,"12,057",2.96%,,,,,,,,,,,,,
357,NJ,New Jersey,S,n/a,,,,,Party Votes:,R,"407,409",,,,,,,,,,,,,,
358,NJ,New Jersey,S,S8NJ00558,,Madelyn R.,Hoffman,"Hoffman, Madelyn R.",,GRE,,,,,"38,288",0.86%,,,,,,,,,
359,NJ,New Jersey,S,S0NJ00258,,Veronica,Fernandez,"Fernandez, Veronica",,OBF,,,,,"32,290",0.73%,,,,,,,,,
360,NJ,New Jersey,S,S0NJ00266,,Daniel,Burke,"Burke, Daniel",,LWR,,,,,"11,632",0.26%,,,,,,,,,
361,NJ,New Jersey,S,n/a,,,,,Total State Votes:,,"1,364,888",,,,"4,440,540",,,,,,,,,,
362,,,,n/a,,,,,,,,,,,,,,,,,,,,,
363,NM,New Mexico,S,S0NM00058,,Ben R.,Lujan,"Lujan, Ben R.",,D,"225,082",100.00%,,,"474,483",51.73%,,,,,W,W,,,
364,NM,New Mexico,S,n/a,,,,,Party Votes:,D,"225,082",,,,,,,,,,,,,,
