2020 VOTES CAST FOR THE U.S. SENATE BY PARTY,,,,,,
,,,,,,
,PRIMARY ELECTION (D),PRIMARY ELECTION (R),PRIMARY ELECTION (O),GENERAL ELECTION (D),GENERAL ELECTION (R),GENERAL ELECTION (O)
State,Democratic,Republican,Other,Democratic,Republican,Other
AL,,"1,268,792",,"920,478","1,392,076","3,891"
AK,"58,499","65,257","4,165","146,068","191,112","17,407"
AS,,,,,,
AZ,"666,378","733,278",430,"1,716,467","1,637,661","1,189"
AR,,,,,"793,871","399,390"
CA,,,,,,
CO,"998,781","554,806","6,948","1,731,114","1,429,492","75,184"
CT,,,,,,
DE,"119,879","53,968",,"291,804","186,054","13,077"
DC,,,,,,
FL,,,,,,
GA,"1,186,660","992,555",,"9,311,867","9,299,557","224,975"
GU,,,,,,
HI,,,,,,
ID,"84,923","199,314",,"285,864","538,446","35,517"
IL,"1,446,118","495,168",,"3,278,930","2,319,870","370,101"
IN,,,,,,
IA,"276,692","229,721",,"754,859","864,997","120,235"
KS,"197,756","416,563",,"571,530","727,962",
KY,"544,062","413,820",,"816,257","1,233,315","85,485"
LA,,,,730989,"1,267,291","73,263"
ME,"162,681","88,448",,"347,223","417,645","54,315"
MD,,,,,,
MA,"1,413,988","265,617","3,417","2,357,809","1,177,765","28,562"
MI,"1,180,780","1,005,315",,"2,734,568","2,642,233","102,919"
MN,"570,941","244,891","10,271","1,566,522","1,398,145","249,589"
MS,"268,989","235,463",,"578,691","709,511","23,152"
MO,,,,,,
MT,"151,855","219,213",760,"272,463","333,174",
NE,"150,702","286,128","2,517","227,191","583,507","119,314"
NV,,,,,,
NH,"151,405","139,117",,"450,778","326,229","18,907"
NJ,"957,479","407,409",,"2,541,239","1,817,091","82,210"
NM,"225,082","157,927","1,454","474,483","418,483","24,271"
NY,,,,,,
NC,"1,261,045","779,858",,"2,569,965","2,665,598","239,389"
ND,,,,,,
MP,,,,,,
OH,,,,,,
OK,"271,175","375,227",,"509,763","979,140","67,458"
OR,"572,264","361,615",,"1,321,047","912,814","87,388"
PA,,,,,,
PR,,,,,,
RI,"65,879","8,819",,"328,574","164,855",833
SC,,"469,043",,"1,110,828","1,369,137","35,139"
SD,,"93,529",,"143,987","276,232",
TN,"332,223","652,724",,"1,040,691","1,840,926","78,144"
TX,"2,831,392","1,934,047",,"4,888,764","5,962,983","292,293"
UT,,,,,,
VT,,,,,,
VI,,,,,,
VA,,"309,804",,"2,466,500","1,934,199","26,614"
WA,,,,,,
WV,"187,381","207,976",,"210,309","547,454",
WI,,,,,,
WY,"23,792","106,438",,"73,766","198,100",
Total:,"16,358,801","13,771,850","29,962","46,771,388","48,556,925","2,950,211"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Notes on Charts,,,,,,
,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,
,,,,,,
"*  For states that had votes for both full and unexpired terms, the votes for both terms are included in the totals.  This applies to Georgia (U.S. Senate).",,,,,,
,,,,,,
The following three situations account for blank spaces in the charts and should be considered when making comparisons or drawing conclusions about the vote totals.,,,,,,
,,,,,,
"*  In some states, i.e., Connecticut, Utah and Virginia, political parties may nominate general election candidates by party convention, rather than by primary election.",,,,,,
,,,,,,
"*  In some states, there were unopposed candidates whose names did not appear on a ballot and therefore received no votes.",,,,,,
,,,,,,
*  33 states had regularly scheduled U.S. Senate elections in 2020.,,,,,,